"value","type","id","scenario"
0,"Mean Times Persistent (Per It.)",165,"EC_04"
0,"Mean Times Persistent (Per It.)",166,"EC_04"
0,"Mean Times Persistent (Per It.)",167,"EC_04"
0,"Mean Times Persistent (Per It.)",168,"EC_04"
0,"Mean Times Persistent (Per It.)",169,"EC_04"
0,"Mean Times Persistent (Per It.)",170,"EC_04"
0,"Mean Times Persistent (Per It.)",171,"EC_04"
0,"Mean Times Persistent (Per It.)",172,"EC_04"
0,"Mean Times Persistent (Per It.)",173,"EC_04"
0,"Mean Times Persistent (Per It.)",174,"EC_04"
0,"Mean Times Persistent (Per It.)",175,"EC_04"
0,"Mean Times Persistent (Per It.)",176,"EC_04"
0,"Mean Times Persistent (Per It.)",177,"EC_04"
0,"Mean Times Persistent (Per It.)",178,"EC_04"
0,"Mean Times Persistent (Per It.)",179,"EC_04"
0,"Mean Times Persistent (Per It.)",180,"EC_04"
0,"Mean Times Persistent (Per It.)",181,"EC_04"
0,"Mean Times Persistent (Per It.)",182,"EC_04"
0,"Mean Times Persistent (Per It.)",183,"EC_04"
0,"Mean Times Persistent (Per It.)",184,"EC_04"
0,"Mean Times Persistent (Per It.)",185,"EC_04"
0,"Mean Times Persistent (Per It.)",186,"EC_04"
0,"Mean Times Persistent (Per It.)",187,"EC_04"
0,"Mean Times Persistent (Per It.)",188,"EC_04"
0,"Mean Times Persistent (Per It.)",189,"EC_04"
0,"Mean Times Persistent (Per It.)",190,"EC_04"
0,"Mean Times Persistent (Per It.)",191,"EC_04"
0,"Mean Times Persistent (Per It.)",192,"EC_04"
0,"Mean Times Persistent (Per It.)",193,"EC_04"
0,"Mean Times Persistent (Per It.)",194,"EC_04"
0,"Mean Times Persistent (Per It.)",195,"EC_04"
0.07,"Mean Times Persistent (Per It.)",196,"EC_04"
0.01,"Mean Times Persistent (Per It.)",197,"EC_04"
0,"Mean Times Persistent (Per It.)",198,"EC_04"
0.04,"Mean Times Persistent (Per It.)",199,"EC_04"
0.04,"Mean Times Persistent (Per It.)",200,"EC_04"
0,"Mean Times Persistent (Per It.)",201,"EC_04"
0,"Mean Times Persistent (Per It.)",202,"EC_04"
0,"Mean Times Persistent (Per It.)",203,"EC_04"
0,"Mean Times Persistent (Per It.)",204,"EC_04"
0,"Mean Times Persistent (Per It.)",205,"EC_04"
0,"Mean Times Persistent (Per It.)",206,"EC_04"
0,"Mean Times Persistent (Per It.)",207,"EC_04"
0,"Mean Times Persistent (Per It.)",208,"EC_04"
0,"Mean Times Persistent (Per It.)",209,"EC_04"
0,"Mean Times Persistent (Per It.)",210,"EC_04"
0,"Mean Times Persistent (Per It.)",211,"EC_04"
0,"Mean Times Persistent (Per It.)",212,"EC_04"
0.04,"Mean Times Persistent (Per It.)",213,"EC_04"
0,"Mean Times Persistent (Per It.)",214,"EC_04"
0,"Mean Times Persistent (Per It.)",215,"EC_04"
0,"Mean Times Persistent (Per It.)",216,"EC_04"
0,"Mean Times Persistent (Per It.)",217,"EC_04"
0,"Mean Times Persistent (Per It.)",218,"EC_04"
0,"Mean Times Persistent (Per It.)",219,"EC_04"
0,"Mean Times Persistent (Per It.)",220,"EC_04"
0,"Mean Times Persistent (Per It.)",221,"EC_04"
0,"Mean Times Persistent (Per It.)",222,"EC_04"
0,"Mean Times Persistent (Per It.)",223,"EC_04"
0,"Mean Times Persistent (Per It.)",224,"EC_04"
0,"Mean Times Persistent (Per It.)",1,"AI_02"
0,"Mean Times Persistent (Per It.)",2,"AI_02"
0,"Mean Times Persistent (Per It.)",3,"AI_02"
0,"Mean Times Persistent (Per It.)",4,"AI_02"
0,"Mean Times Persistent (Per It.)",5,"AI_02"
0,"Mean Times Persistent (Per It.)",6,"AI_02"
0,"Mean Times Persistent (Per It.)",7,"AI_02"
0,"Mean Times Persistent (Per It.)",8,"AI_02"
0,"Mean Times Persistent (Per It.)",9,"AI_02"
0,"Mean Times Persistent (Per It.)",10,"AI_02"
0,"Mean Times Persistent (Per It.)",11,"AI_02"
0,"Mean Times Persistent (Per It.)",12,"AI_02"
0,"Mean Times Persistent (Per It.)",13,"AI_02"
0,"Mean Times Persistent (Per It.)",14,"AI_02"
0,"Mean Times Persistent (Per It.)",15,"AI_02"
0,"Mean Times Persistent (Per It.)",16,"AI_02"
0,"Mean Times Persistent (Per It.)",17,"AI_02"
0,"Mean Times Persistent (Per It.)",18,"AI_02"
0,"Mean Times Persistent (Per It.)",19,"AI_02"
0,"Mean Times Persistent (Per It.)",20,"AI_02"
0,"Mean Times Persistent (Per It.)",21,"AI_02"
0,"Mean Times Persistent (Per It.)",22,"AI_02"
0,"Mean Times Persistent (Per It.)",23,"AI_02"
0,"Mean Times Persistent (Per It.)",24,"AI_02"
0,"Mean Times Persistent (Per It.)",25,"AI_02"
0,"Mean Times Persistent (Per It.)",26,"AI_02"
0,"Mean Times Persistent (Per It.)",27,"AI_02"
0,"Mean Times Persistent (Per It.)",28,"AI_02"
0,"Mean Times Persistent (Per It.)",29,"AI_02"
0,"Mean Times Persistent (Per It.)",30,"AI_02"
0,"Mean Times Persistent (Per It.)",31,"AI_02"
0,"Mean Times Persistent (Per It.)",32,"AI_02"
0,"Mean Times Persistent (Per It.)",33,"AI_02"
0,"Mean Times Persistent (Per It.)",34,"AI_02"
0,"Mean Times Persistent (Per It.)",35,"AI_02"
0,"Mean Times Persistent (Per It.)",36,"AI_02"
0,"Mean Times Persistent (Per It.)",37,"AI_02"
0,"Mean Times Persistent (Per It.)",38,"AI_02"
0,"Mean Times Persistent (Per It.)",39,"AI_02"
0,"Mean Times Persistent (Per It.)",40,"AI_02"
0,"Mean Times Persistent (Per It.)",41,"AI_02"
